Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
1.182,-0.016,-1.34%,26 Feb 2021
1.198,-0.001,-0.08%,25 Feb 2021
1.199,0.003,0.25%,24 Feb 2021
1.196,-0.001,-0.08%,23 Feb 2021
1.197,-0.013,-1.07%,22 Feb 2021
1.21,0.006,0.50%,19 Feb 2021
1.204,-0.008,-0.66%,18 Feb 2021
1.212,-0.007,-0.57%,17 Feb 2021
1.219,0.000,0.00%,16 Feb 2021
1.219,0.006,0.49%,15 Feb 2021
1.213,0.006,0.50%,12 Feb 2021
1.207,0.004,0.33%,11 Feb 2021
1.203,-0.002,-0.17%,10 Feb 2021
1.205,-0.002,-0.17%,09 Feb 2021
1.207,0.003,0.25%,08 Feb 2021
1.204,-0.004,-0.33%,05 Feb 2021
1.208,0.004,0.33%,04 Feb 2021
1.204,-0.002,-0.17%,03 Feb 2021
1.206,0.013,1.09%,02 Feb 2021
1.193,0.010,0.85%,01 Feb 2021
1.183,-0.025,-2.07%,29 Jan 2021
1.208,0.004,0.33%,28 Jan 2021
1.204,-0.016,-1.31%,27 Jan 2021
1.22,0.000,0.00%,26 Jan 2021
1.22,-0.001,-0.08%,25 Jan 2021
1.221,-0.004,-0.33%,22 Jan 2021
1.225,-0.001,-0.08%,21 Jan 2021
1.226,-0.001,-0.08%,20 Jan 2021
1.227,0.007,0.57%,19 Jan 2021
1.22,-0.006,-0.49%,18 Jan 2021
1.226,-0.005,-0.41%,15 Jan 2021
1.231,0.004,0.33%,14 Jan 2021
1.227,0.004,0.33%,13 Jan 2021
1.223,-0.005,-0.41%,12 Jan 2021
1.228,0.003,0.24%,11 Jan 2021
1.225,0.010,0.82%,08 Jan 2021
1.215,0.002,0.16%,07 Jan 2021
1.213,0.024,2.02%,06 Jan 2021
1.189,-0.002,-0.17%,05 Jan 2021
1.191,0.007,0.59%,04 Jan 2021
1.184,-0.008,-0.67%,31 Dec 2020
1.192,0.001,0.08%,30 Dec 2020
1.191,0.005,0.42%,29 Dec 2020
1.186,0.011,0.94%,28 Dec 2020
1.175,0.002,0.17%,24 Dec 2020
1.173,0.006,0.51%,23 Dec 2020
1.167,0.008,0.69%,22 Dec 2020
1.159,-0.020,-1.70%,21 Dec 2020
1.179,-0.002,-0.17%,18 Dec 2020
1.181,0.003,0.25%,17 Dec 2020
1.178,0.008,0.68%,16 Dec 2020
1.17,-0.004,-0.34%,15 Dec 2020
1.174,0.003,0.26%,14 Dec 2020
1.171,-0.007,-0.59%,11 Dec 2020
1.178,-0.001,-0.08%,10 Dec 2020
1.179,0.001,0.08%,09 Dec 2020
1.178,0.004,0.34%,08 Dec 2020
1.174,0.000,0.00%,07 Dec 2020
1.174,0.005,0.43%,04 Dec 2020
1.169,-0.005,-0.43%,03 Dec 2020
1.174,0.001,0.09%,02 Dec 2020
1.173,0.008,0.69%,01 Dec 2020
1.165,-0.011,-0.94%,30 Nov 2020
1.176,0.005,0.43%,27 Nov 2020
1.171,0.002,0.17%,26 Nov 2020
1.169,-0.001,-0.09%,25 Nov 2020
1.17,0.007,0.60%,24 Nov 2020
1.163,-0.003,-0.26%,23 Nov 2020
1.166,0.003,0.26%,20 Nov 2020
1.163,-0.007,-0.60%,19 Nov 2020
1.17,0.003,0.26%,18 Nov 2020
1.167,-0.004,-0.34%,17 Nov 2020
1.171,0.009,0.77%,16 Nov 2020
1.162,0.003,0.26%,13 Nov 2020
1.159,-0.002,-0.17%,12 Nov 2020
1.161,0.013,1.13%,11 Nov 2020
1.148,-0.003,-0.26%,10 Nov 2020
1.151,0.026,2.31%,09 Nov 2020
1.125,0.000,0.00%,06 Nov 2020
1.125,0.014,1.26%,05 Nov 2020
1.111,0.018,1.65%,04 Nov 2020
1.093,0.022,2.05%,03 Nov 2020
1.071,0.017,1.61%,02 Nov 2020
1.054,-0.003,-0.28%,30 Oct 2020
1.057,-0.005,-0.47%,29 Oct 2020
1.062,-0.028,-2.57%,28 Oct 2020
1.09,-0.004,-0.37%,27 Oct 2020
1.094,-0.015,-1.35%,26 Oct 2020
1.109,0.001,0.09%,23 Oct 2020
1.108,-0.003,-0.27%,22 Oct 2020
1.111,-0.010,-0.89%,21 Oct 2020
1.121,-0.004,-0.36%,20 Oct 2020
1.125,-0.004,-0.35%,19 Oct 2020
1.129,0.011,0.98%,16 Oct 2020
1.118,-0.016,-1.41%,15 Oct 2020
1.134,-0.002,-0.18%,14 Oct 2020
1.136,-0.001,-0.09%,13 Oct 2020
1.137,0.008,0.71%,12 Oct 2020
1.129,0.005,0.44%,09 Oct 2020
1.124,0.009,0.81%,08 Oct 2020
1.115,0.000,0.00%,07 Oct 2020
