Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
13.55,0.09,0.67%,08 Feb 2022
13.46,-0.06,-0.44%,07 Feb 2022
13.52,0.03,0.22%,04 Feb 2022
13.49,-0.24,-1.75%,03 Feb 2022
13.73,0.11,0.81%,02 Feb 2022
13.62,0.04,0.29%,01 Feb 2022
13.58,0.11,0.82%,31 Jan 2022
13.47,0.26,1.97%,28 Jan 2022
13.21,0.01,0.08%,27 Jan 2022
13.2,0.03,0.23%,26 Jan 2022
13.17,-0.15,-1.13%,25 Jan 2022
13.32,0.03,0.23%,24 Jan 2022
13.29,-0.16,-1.19%,21 Jan 2022
13.45,-0.08,-0.59%,20 Jan 2022
13.53,-0.10,-0.73%,19 Jan 2022
13.63,-0.16,-1.16%,18 Jan 2022
13.79,-0.02,-0.14%,14 Jan 2022
13.81,-0.13,-0.93%,13 Jan 2022
13.94,-0.03,-0.21%,12 Jan 2022
13.97,0.03,0.22%,11 Jan 2022
13.94,-0.02,-0.14%,10 Jan 2022
13.96,-0.14,-0.99%,07 Jan 2022
14.1,0.01,0.07%,06 Jan 2022
14.09,-0.19,-1.33%,05 Jan 2022
14.28,0.00,0.00%,04 Jan 2022
14.28,0.07,0.49%,03 Jan 2022
14.21,-0.07,-0.49%,31 Dec 2021
14.28,-0.01,-0.07%,30 Dec 2021
14.29,0.04,0.28%,29 Dec 2021
14.25,0.01,0.07%,23 Dec 2021
14.24,0.08,0.56%,22 Dec 2021
14.16,0.13,0.93%,21 Dec 2021
14.03,-0.10,-0.71%,20 Dec 2021
14.13,-0.06,-0.42%,17 Dec 2021
14.19,-0.13,-0.91%,16 Dec 2021
14.32,0.13,0.92%,15 Dec 2021
14.19,-0.08,-0.56%,14 Dec 2021
14.27,-0.03,-0.21%,13 Dec 2021
14.3,0.07,0.49%,10 Dec 2021
14.23,-0.02,-0.14%,09 Dec 2021
14.25,-0.03,-0.21%,08 Dec 2021
14.28,0.14,0.99%,07 Dec 2021
14.14,0.08,0.57%,06 Dec 2021
14.06,-0.05,-0.35%,03 Dec 2021
14.11,0.17,1.22%,02 Dec 2021
13.94,-0.08,-0.57%,01 Dec 2021
14.02,-0.21,-1.48%,30 Nov 2021
14.23,0.12,0.85%,29 Nov 2021
14.11,-0.19,-1.33%,26 Nov 2021
14.3,0.07,0.49%,24 Nov 2021
14.23,0.01,0.07%,23 Nov 2021
14.22,-0.04,-0.28%,22 Nov 2021
14.26,0.06,0.42%,19 Nov 2021
14.2,0.06,0.42%,18 Nov 2021
14.14,-0.06,-0.42%,17 Nov 2021
14.2,0.08,0.57%,16 Nov 2021
14.12,0.00,0.00%,15 Nov 2021
14.12,0.05,0.36%,12 Nov 2021
14.07,0.00,0.00%,11 Nov 2021
14.07,-0.05,-0.35%,10 Nov 2021
14.12,0.01,0.07%,09 Nov 2021
14.11,-0.01,-0.07%,08 Nov 2021
14.12,0.04,0.28%,05 Nov 2021
14.08,0.14,1.00%,04 Nov 2021
13.94,0.03,0.22%,03 Nov 2021
13.91,0.06,0.43%,02 Nov 2021
13.85,-0.03,-0.22%,01 Nov 2021
13.88,0.07,0.51%,29 Oct 2021
13.81,0.01,0.07%,28 Oct 2021
13.8,0.02,0.15%,27 Oct 2021
13.78,0.05,0.36%,26 Oct 2021
13.73,0.01,0.07%,25 Oct 2021
13.72,0.02,0.15%,22 Oct 2021
13.7,0.08,0.59%,21 Oct 2021
13.62,-0.01,-0.07%,20 Oct 2021
13.63,0.00,0.00%,19 Oct 2021
13.63,0.04,0.29%,18 Oct 2021
13.59,0.06,0.44%,15 Oct 2021
13.53,0.13,0.97%,14 Oct 2021
13.4,-0.02,-0.15%,13 Oct 2021
13.42,0.00,0.00%,12 Oct 2021
13.42,-0.07,-0.52%,11 Oct 2021
13.49,-0.07,-0.52%,08 Oct 2021
13.56,0.09,0.67%,07 Oct 2021
13.47,0.05,0.37%,06 Oct 2021
13.42,0.09,0.68%,05 Oct 2021
13.33,-0.13,-0.97%,04 Oct 2021
13.46,0.10,0.75%,01 Oct 2021
13.36,-0.14,-1.04%,30 Sep 2021
13.5,0.06,0.45%,29 Sep 2021
13.44,-0.18,-1.32%,28 Sep 2021
13.62,-0.05,-0.37%,27 Sep 2021
13.67,0.05,0.37%,24 Sep 2021
13.62,0.03,0.22%,23 Sep 2021
13.59,0.10,0.74%,22 Sep 2021
13.49,0.00,0.00%,21 Sep 2021
13.49,-0.11,-0.81%,20 Sep 2021
13.6,-0.05,-0.37%,17 Sep 2021
13.65,0.04,0.29%,16 Sep 2021
13.61,0.04,0.29%,15 Sep 2021
13.57,-0.03,-0.22%,14 Sep 2021
13.6,0.02,0.15%,13 Sep 2021
13.58,-0.07,-0.51%,10 Sep 2021
13.65,-0.07,-0.51%,09 Sep 2021
13.72,0.00,0.00%,08 Sep 2021
13.72,0.00,0.00%,07 Sep 2021
13.72,-0.01,-0.07%,03 Sep 2021
13.73,-0.02,-0.15%,02 Sep 2021
13.75,0.01,0.07%,01 Sep 2021
13.74,-0.02,-0.15%,31 Aug 2021
13.76,0.03,0.22%,30 Aug 2021
13.73,-0.02,-0.15%,27 Aug 2021
13.75,-0.03,-0.22%,26 Aug 2021
13.78,-0.01,-0.07%,25 Aug 2021
13.79,0.00,0.00%,24 Aug 2021
13.79,0.02,0.15%,23 Aug 2021
13.77,0.03,0.22%,20 Aug 2021
13.74,0.08,0.59%,19 Aug 2021
13.66,-0.12,-0.87%,18 Aug 2021
13.78,0.01,0.07%,17 Aug 2021
13.77,0.05,0.36%,16 Aug 2021
13.72,0.01,0.07%,13 Aug 2021
13.71,0.03,0.22%,12 Aug 2021
13.68,-0.02,-0.15%,11 Aug 2021
13.7,0.00,0.00%,10 Aug 2021
13.7,0.00,0.00%,09 Aug 2021
13.7,0.04,0.29%,06 Aug 2021
13.66,0.04,0.29%,05 Aug 2021
13.62,-0.02,-0.15%,04 Aug 2021
13.64,0.03,0.22%,03 Aug 2021
13.61,-0.04,-0.29%,02 Aug 2021
13.65,-0.01,-0.07%,30 Jul 2021
13.66,0.00,0.00%,29 Jul 2021
13.66,-0.06,-0.44%,28 Jul 2021
13.72,-0.02,-0.15%,27 Jul 2021
13.74,-0.01,-0.07%,26 Jul 2021
13.75,0.11,0.81%,23 Jul 2021
13.64,0.00,0.00%,22 Jul 2021
13.64,0.04,0.29%,21 Jul 2021
13.6,0.16,1.19%,20 Jul 2021
13.44,-0.05,-0.37%,19 Jul 2021
13.49,-0.04,-0.30%,16 Jul 2021
13.53,-0.02,-0.15%,15 Jul 2021
13.55,0.00,0.00%,14 Jul 2021
13.55,0.03,0.22%,13 Jul 2021
13.52,0.04,0.30%,12 Jul 2021
13.48,0.04,0.30%,09 Jul 2021
13.44,-0.03,-0.22%,08 Jul 2021
13.47,0.06,0.45%,07 Jul 2021
13.41,0.03,0.22%,06 Jul 2021
13.38,0.06,0.45%,02 Jul 2021
13.32,0.09,0.68%,01 Jul 2021
13.23,0.00,0.00%,30 Jun 2021
13.23,0.05,0.38%,29 Jun 2021
13.18,0.04,0.30%,28 Jun 2021
13.14,0.02,0.15%,25 Jun 2021
13.12,0.02,0.15%,24 Jun 2021
13.1,-0.01,-0.08%,23 Jun 2021
13.11,0.08,0.61%,22 Jun 2021
13.03,0.08,0.62%,21 Jun 2021
12.95,-0.07,-0.54%,18 Jun 2021
13.02,0.10,0.77%,17 Jun 2021
12.92,0.04,0.31%,16 Jun 2021
12.88,-0.02,-0.16%,15 Jun 2021
12.9,0.04,0.31%,14 Jun 2021
12.86,0.03,0.23%,11 Jun 2021
12.83,0.05,0.39%,10 Jun 2021
12.78,0.01,0.08%,09 Jun 2021
12.77,0.02,0.16%,08 Jun 2021
12.75,-0.03,-0.23%,07 Jun 2021
12.78,0.06,0.47%,04 Jun 2021
12.72,0.02,0.16%,03 Jun 2021
12.7,0.01,0.08%,02 Jun 2021
12.69,-0.04,-0.31%,01 Jun 2021
12.73,0.01,0.08%,28 May 2021
12.72,-0.02,-0.16%,27 May 2021
12.74,0.01,0.08%,26 May 2021
12.73,-0.02,-0.16%,25 May 2021
12.75,0.05,0.39%,24 May 2021
12.7,0.00,0.00%,21 May 2021
12.7,0.07,0.55%,20 May 2021
12.63,0.02,0.16%,19 May 2021
12.61,-0.11,-0.86%,18 May 2021
12.72,-0.01,-0.08%,17 May 2021
12.73,0.11,0.87%,14 May 2021
12.62,0.10,0.80%,13 May 2021
12.52,-0.13,-1.03%,12 May 2021
12.65,-0.07,-0.55%,11 May 2021
12.72,-0.09,-0.70%,10 May 2021
12.81,-0.02,-0.16%,07 May 2021
12.83,0.05,0.39%,06 May 2021
12.78,-0.01,-0.08%,05 May 2021
12.79,0.00,0.00%,04 May 2021
12.79,0.00,0.00%,03 May 2021
12.79,-0.01,-0.08%,30 Apr 2021
12.8,0.06,0.47%,29 Apr 2021
12.74,-0.03,-0.23%,28 Apr 2021
12.77,0.00,0.00%,27 Apr 2021
12.77,0.00,0.00%,26 Apr 2021
12.77,0.05,0.39%,23 Apr 2021
12.72,-0.06,-0.47%,22 Apr 2021
12.78,0.09,0.71%,21 Apr 2021
12.69,-0.08,-0.63%,20 Apr 2021
12.77,-0.08,-0.62%,19 Apr 2021
12.85,0.00,0.00%,16 Apr 2021
12.85,0.12,0.94%,15 Apr 2021
12.73,-0.08,-0.62%,14 Apr 2021
12.81,0.04,0.31%,13 Apr 2021
12.77,-0.01,-0.08%,12 Apr 2021
12.78,0.07,0.55%,09 Apr 2021
12.71,0.05,0.39%,08 Apr 2021
12.66,0.03,0.24%,07 Apr 2021
12.63,-0.02,-0.16%,06 Apr 2021
12.65,0.10,0.80%,05 Apr 2021
12.55,0.11,0.88%,01 Apr 2021
12.44,0.02,0.16%,31 Mar 2021
12.42,-0.05,-0.40%,30 Mar 2021
12.47,0.02,0.16%,29 Mar 2021
12.45,0.10,0.81%,26 Mar 2021
12.35,0.05,0.41%,25 Mar 2021
12.3,-0.02,-0.16%,24 Mar 2021
12.32,0.02,0.16%,23 Mar 2021
12.3,0.06,0.49%,22 Mar 2021
12.24,-0.03,-0.24%,19 Mar 2021
12.27,-0.09,-0.73%,18 Mar 2021
12.36,-0.06,-0.48%,17 Mar 2021
12.42,0.01,0.08%,16 Mar 2021
12.41,0.05,0.40%,15 Mar 2021
12.36,0.02,0.16%,12 Mar 2021
12.34,0.06,0.49%,11 Mar 2021
12.28,0.04,0.33%,10 Mar 2021
12.24,0.05,0.41%,09 Mar 2021
12.19,0.02,0.16%,08 Mar 2021
12.17,0.17,1.42%,05 Mar 2021
12.0,-0.09,-0.74%,04 Mar 2021
12.09,-0.11,-0.90%,03 Mar 2021
12.2,-0.04,-0.33%,02 Mar 2021
12.24,0.11,0.91%,01 Mar 2021
12.13,0.09,0.75%,26 Feb 2021
12.04,-0.15,-1.23%,25 Feb 2021
12.19,0.07,0.58%,24 Feb 2021
12.12,-0.02,-0.16%,23 Feb 2021
12.14,-0.09,-0.74%,22 Feb 2021
12.23,-0.06,-0.49%,19 Feb 2021
12.29,-0.04,-0.32%,18 Feb 2021
12.33,0.01,0.08%,17 Feb 2021
12.32,0.00,0.00%,16 Feb 2021
12.32,0.02,0.16%,12 Feb 2021
12.3,0.02,0.16%,11 Feb 2021
12.28,0.02,0.16%,10 Feb 2021
12.26,-0.08,-0.65%,09 Feb 2021
12.34,0.04,0.33%,08 Feb 2021
12.3,-0.02,-0.16%,05 Feb 2021
12.32,0.12,0.98%,04 Feb 2021
12.2,0.00,0.00%,03 Feb 2021
12.2,0.12,0.99%,02 Feb 2021
12.08,0.16,1.34%,01 Feb 2021
11.92,-0.15,-1.24%,29 Jan 2021
12.07,0.10,0.84%,28 Jan 2021
11.97,-0.19,-1.56%,27 Jan 2021
12.16,-0.04,-0.33%,26 Jan 2021
12.2,0.02,0.16%,25 Jan 2021
12.18,0.02,0.16%,22 Jan 2021
12.16,-0.01,-0.08%,21 Jan 2021
12.17,0.07,0.58%,20 Jan 2021
12.1,0.05,0.41%,19 Jan 2021
12.05,0.02,0.17%,15 Jan 2021
12.03,-0.09,-0.74%,14 Jan 2021
12.12,0.06,0.50%,13 Jan 2021
12.06,-0.10,-0.82%,12 Jan 2021
12.16,0.03,0.25%,11 Jan 2021
12.13,0.03,0.25%,08 Jan 2021
12.1,0.17,1.42%,07 Jan 2021
11.93,-0.01,-0.08%,06 Jan 2021
11.94,0.00,0.00%,05 Jan 2021
11.94,-0.13,-1.08%,04 Jan 2021
12.07,0.03,0.25%,31 Dec 2020
12.04,-0.03,-0.25%,30 Dec 2020
12.07,0.05,0.42%,29 Dec 2020
12.02,0.02,0.17%,24 Dec 2020
12.0,-0.08,-0.66%,23 Dec 2020
12.08,0.04,0.33%,22 Dec 2020
12.04,0.03,0.25%,21 Dec 2020
12.01,0.00,0.00%,18 Dec 2020
12.01,0.01,0.08%,17 Dec 2020
12.0,0.00,0.00%,16 Dec 2020
12.0,0.06,0.50%,15 Dec 2020
11.94,-0.03,-0.25%,14 Dec 2020
11.97,0.01,0.08%,11 Dec 2020
11.96,-0.03,-0.25%,10 Dec 2020
