Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
275.19,-0.70,-0.25%,20 Aug 2024
275.89,1.22,0.44%,19 Aug 2024
274.67,5.05,1.87%,16 Aug 2024
269.62,0.62,0.23%,14 Aug 2024
269.0,3.62,1.36%,13 Aug 2024
265.38,0.60,0.23%,12 Aug 2024
264.78,1.11,0.42%,09 Aug 2024
263.67,6.12,2.38%,08 Aug 2024
257.55,-3.15,-1.21%,07 Aug 2024
260.7,3.88,1.51%,06 Aug 2024
256.82,-7.91,-2.99%,05 Aug 2024
264.73,-8.10,-2.97%,02 Aug 2024
272.83,-3.55,-1.28%,01 Aug 2024
276.38,5.38,1.99%,31 Jul 2024
271.0,-2.93,-1.07%,30 Jul 2024
273.93,0.47,0.17%,29 Jul 2024
273.46,3.11,1.15%,26 Jul 2024
270.35,-4.70,-1.71%,25 Jul 2024
275.05,-9.30,-3.27%,24 Jul 2024
284.35,-0.44,-0.15%,23 Jul 2024
284.79,4.47,1.59%,22 Jul 2024
280.32,-1.32,-0.47%,19 Jul 2024
281.64,-1.49,-0.53%,18 Jul 2024
283.13,-8.16,-2.80%,17 Jul 2024
291.29,0.50,0.17%,16 Jul 2024
290.79,-0.06,-0.02%,15 Jul 2024
290.85,0.42,0.14%,12 Jul 2024
290.43,-5.83,-1.97%,11 Jul 2024
296.26,2.03,0.69%,10 Jul 2024
294.23,-0.28,-0.10%,09 Jul 2024
294.51,0.23,0.08%,08 Jul 2024
294.28,1.70,0.58%,05 Jul 2024
292.58,0.85,0.29%,03 Jul 2024
291.73,0.98,0.34%,02 Jul 2024
290.75,1.12,0.39%,01 Jul 2024
289.63,-2.86,-0.98%,28 Jun 2024
292.49,0.65,0.22%,27 Jun 2024
291.84,1.65,0.57%,26 Jun 2024
290.19,3.31,1.15%,25 Jun 2024
286.88,-3.91,-1.34%,24 Jun 2024
290.79,-0.30,-0.10%,21 Jun 2024
291.09,-1.37,-0.47%,20 Jun 2024
292.46,0.87,0.30%,18 Jun 2024
291.59,1.87,0.65%,17 Jun 2024
289.72,1.25,0.43%,14 Jun 2024
288.47,1.21,0.42%,13 Jun 2024
287.26,1.54,0.54%,12 Jun 2024
285.72,1.02,0.36%,11 Jun 2024
284.7,1.71,0.60%,10 Jun 2024
282.99,0.36,0.13%,07 Jun 2024
282.63,-0.06,-0.02%,06 Jun 2024
282.69,6.09,2.20%,05 Jun 2024
276.6,1.16,0.42%,04 Jun 2024
275.44,0.14,0.05%,03 Jun 2024
275.3,0.21,0.08%,31 May 2024
275.09,-3.88,-1.39%,30 May 2024
278.97,-0.97,-0.35%,29 May 2024
279.94,0.46,0.16%,28 May 2024
279.48,2.01,0.72%,24 May 2024
277.47,-0.13,-0.05%,23 May 2024
277.6,0.11,0.04%,22 May 2024
277.49,1.69,0.61%,21 May 2024
275.8,0.14,0.05%,17 May 2024
275.66,-1.54,-0.56%,16 May 2024
277.2,3.61,1.32%,15 May 2024
273.59,1.49,0.55%,14 May 2024
272.1,-1.26,-0.46%,13 May 2024
273.36,2.50,0.92%,10 May 2024
270.86,0.05,0.02%,08 May 2024
270.81,1.37,0.51%,07 May 2024
269.44,3.78,1.42%,06 May 2024
265.66,2.59,0.98%,03 May 2024
263.07,1.54,0.59%,02 May 2024
261.53,-3.44,-1.30%,30 Apr 2024
264.97,-1.31,-0.49%,29 Apr 2024
266.28,5.51,2.11%,26 Apr 2024
260.77,-2.43,-0.92%,25 Apr 2024
263.2,-0.99,-0.37%,24 Apr 2024
264.19,3.67,1.41%,23 Apr 2024
260.52,2.63,1.02%,22 Apr 2024
257.89,-5.78,-2.19%,19 Apr 2024
263.67,-0.59,-0.22%,18 Apr 2024
264.26,-3.17,-1.19%,17 Apr 2024
267.43,1.21,0.45%,16 Apr 2024
266.22,-3.76,-1.39%,15 Apr 2024
269.98,-2.65,-0.97%,12 Apr 2024
272.63,2.03,0.75%,11 Apr 2024
270.6,-0.43,-0.16%,10 Apr 2024
271.03,-0.20,-0.07%,09 Apr 2024
271.23,-0.64,-0.24%,08 Apr 2024
