Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
10.95,-0.0409,-0.37%,01 Sep 2022
10.9909,0.2993,2.80%,30 Aug 2022
10.6916,-0.0492,-0.46%,29 Aug 2022
10.7408,0.0969,0.91%,26 Aug 2022
10.6439,-0.0503,-0.47%,25 Aug 2022
10.6942,0.0201,0.19%,24 Aug 2022
10.6741,0.0684,0.64%,23 Aug 2022
10.6057,-0.0416,-0.39%,22 Aug 2022
10.6473,-0.1001,-0.93%,19 Aug 2022
10.7474,0.0099,0.09%,18 Aug 2022
10.7375,0.2549,2.43%,17 Aug 2022
10.4826,0.0804,0.77%,12 Aug 2022
10.4022,0.0723,0.70%,11 Aug 2022
10.3299,-0.0374,-0.36%,10 Aug 2022
10.3673,-0.0298,-0.29%,08 Aug 2022
10.3971,0.0853,0.83%,05 Aug 2022
10.3118,-0.0543,-0.52%,04 Aug 2022
10.3661,-0.0404,-0.39%,03 Aug 2022
10.4065,0.1599,1.56%,02 Aug 2022
10.2466,0.1552,1.54%,29 Jul 2022
10.0914,-0.0042,-0.04%,28 Jul 2022
10.0956,0.0688,0.69%,27 Jul 2022
10.0268,-0.0885,-0.87%,26 Jul 2022
10.1153,-0.0506,-0.50%,25 Jul 2022
10.1659,0.0026,0.03%,22 Jul 2022
10.1633,0.0626,0.62%,21 Jul 2022
10.1007,-0.0182,-0.18%,20 Jul 2022
10.1189,0.0246,0.24%,19 Jul 2022
10.0943,0.0141,0.14%,18 Jul 2022
10.0802,0.0337,0.34%,15 Jul 2022
10.0465,0.0101,0.10%,14 Jul 2022
10.0364,-0.0254,-0.25%,13 Jul 2022
10.0618,0.0029,0.03%,12 Jul 2022
10.0589,0.0095,0.09%,08 Jul 2022
10.0494,0.0571,0.57%,07 Jul 2022
9.9923,0.1461,1.48%,06 Jul 2022
9.8462,0.0224,0.23%,05 Jul 2022
9.8238,0.0567,0.58%,04 Jul 2022
9.7671,0.1151,1.19%,01 Jul 2022
9.652,-0.0174,-0.18%,30 Jun 2022
9.6694,-0.0518,-0.53%,29 Jun 2022
9.7212,-0.0320,-0.33%,28 Jun 2022
9.7532,0.0186,0.19%,27 Jun 2022
9.7346,0.1423,1.48%,24 Jun 2022
9.5923,0.1618,1.72%,23 Jun 2022
9.4305,-0.1049,-1.10%,22 Jun 2022
9.5354,0.1214,1.29%,21 Jun 2022
9.414,-0.0563,-0.59%,20 Jun 2022
9.4703,-0.0160,-0.17%,17 Jun 2022
9.4863,-0.2211,-2.28%,16 Jun 2022
9.7074,0.0225,0.23%,15 Jun 2022
9.6849,-0.0043,-0.04%,14 Jun 2022
9.6892,-0.1706,-1.73%,13 Jun 2022
9.8598,-0.0782,-0.79%,10 Jun 2022
9.938,0.1242,1.27%,09 Jun 2022
9.8138,-0.0272,-0.28%,08 Jun 2022
9.841,-0.0772,-0.78%,07 Jun 2022
9.9182,-0.0743,-0.74%,03 Jun 2022
