Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
1.1084,0.0002,0.02%,11 Jun 2024
1.1082,0.0004,0.04%,10 Jun 2024
1.1078,0.0002,0.02%,07 Jun 2024
1.1076,0.0001,0.01%,06 Jun 2024
1.1075,0.0001,0.01%,05 Jun 2024
1.1074,0.0002,0.02%,04 Jun 2024
1.1072,0.0004,0.04%,03 Jun 2024
1.1068,0.0002,0.02%,31 May 2024
1.1066,0.0001,0.01%,30 May 2024
1.1065,0.0002,0.02%,29 May 2024
1.1063,0.0000,0.00%,28 May 2024
1.1063,0.0004,0.04%,27 May 2024
1.1059,0.0001,0.01%,24 May 2024
1.1058,0.0001,0.01%,23 May 2024
1.1057,0.0002,0.02%,21 May 2024
1.1055,0.0003,0.03%,20 May 2024
1.1052,0.0001,0.01%,17 May 2024
1.1051,0.0000,0.00%,16 May 2024
1.1051,0.0001,0.01%,15 May 2024
1.105,0.0002,0.02%,14 May 2024
1.1048,0.0003,0.03%,13 May 2024
1.1045,0.0001,0.01%,10 May 2024
1.1044,0.0001,0.01%,09 May 2024
1.1043,0.0001,0.01%,08 May 2024
1.1042,0.0000,0.00%,07 May 2024
1.1042,0.0003,0.03%,06 May 2024
1.1039,0.0001,0.01%,03 May 2024
1.1038,0.0002,0.02%,02 May 2024
1.1036,0.0002,0.02%,30 Apr 2024
1.1034,0.0003,0.03%,29 Apr 2024
1.1031,0.0001,0.01%,26 Apr 2024
1.103,0.0000,0.00%,25 Apr 2024
1.103,0.0002,0.02%,24 Apr 2024
1.1028,0.0001,0.01%,23 Apr 2024
1.1027,0.0003,0.03%,22 Apr 2024
1.1024,0.0002,0.02%,19 Apr 2024
1.1022,0.0000,0.00%,18 Apr 2024
1.1022,0.0000,0.00%,17 Apr 2024
1.1022,0.0002,0.02%,16 Apr 2024
1.102,0.0004,0.04%,15 Apr 2024
1.1016,0.0001,0.01%,12 Apr 2024
1.1015,0.0002,0.02%,11 Apr 2024
1.1013,0.0002,0.02%,09 Apr 2024
1.1011,0.0002,0.02%,08 Apr 2024
1.1009,0.0002,0.02%,05 Apr 2024
1.1007,0.0001,0.01%,04 Apr 2024
1.1006,0.0000,0.00%,03 Apr 2024
1.1006,0.0000,0.00%,02 Apr 2024
1.1006,0.0005,0.05%,01 Apr 2024
1.1001,0.0002,0.02%,28 Mar 2024
1.0999,0.0001,0.01%,27 Mar 2024
1.0998,0.0001,0.01%,26 Mar 2024
1.0997,0.0003,0.03%,25 Mar 2024
1.0994,0.0001,0.01%,22 Mar 2024
1.0993,0.0001,0.01%,21 Mar 2024
1.0992,0.0001,0.01%,20 Mar 2024
1.0991,0.0002,0.02%,19 Mar 2024
1.0989,0.0002,0.02%,18 Mar 2024
1.0987,0.0002,0.02%,15 Mar 2024
1.0985,0.0001,0.01%,14 Mar 2024
1.0984,0.0001,0.01%,13 Mar 2024
1.0983,0.0002,0.02%,12 Mar 2024
1.0981,0.0003,0.03%,11 Mar 2024
1.0978,0.0001,0.01%,08 Mar 2024
1.0977,0.0001,0.01%,07 Mar 2024
1.0976,0.0001,0.01%,06 Mar 2024
1.0975,0.0001,0.01%,05 Mar 2024
1.0974,0.0003,0.03%,04 Mar 2024
1.0971,0.0002,0.02%,01 Mar 2024
1.0969,0.0001,0.01%,29 Feb 2024
1.0968,0.0001,0.01%,28 Feb 2024
1.0967,0.0001,0.01%,27 Feb 2024
1.0966,0.0003,0.03%,26 Feb 2024
1.0963,0.0001,0.01%,23 Feb 2024
1.0962,0.0001,0.01%,22 Feb 2024
1.0961,0.0001,0.01%,21 Feb 2024
1.096,0.0001,0.01%,20 Feb 2024
1.0959,0.0003,0.03%,19 Feb 2024
1.0956,0.0001,0.01%,16 Feb 2024
1.0955,0.0001,0.01%,15 Feb 2024
1.0954,0.0001,0.01%,14 Feb 2024
1.0953,0.0004,0.04%,13 Feb 2024
1.0949,0.0001,0.01%,09 Feb 2024
1.0948,0.0001,0.01%,08 Feb 2024
1.0947,0.0001,0.01%,07 Feb 2024
1.0946,0.0001,0.01%,06 Feb 2024
1.0945,0.0003,0.03%,05 Feb 2024
1.0942,0.0001,0.01%,02 Feb 2024
1.0941,0.0001,0.01%,01 Feb 2024
1.094,0.0001,0.01%,31 Jan 2024
1.0939,0.0001,0.01%,30 Jan 2024
1.0938,0.0004,0.04%,29 Jan 2024
1.0934,0.0000,0.00%,26 Jan 2024
1.0934,0.0001,0.01%,25 Jan 2024
1.0933,0.0001,0.01%,24 Jan 2024
1.0932,0.0001,0.01%,23 Jan 2024
1.0931,0.0003,0.03%,22 Jan 2024
1.0928,0.0001,0.01%,19 Jan 2024
1.0927,0.0002,0.02%,18 Jan 2024
1.0925,0.0001,0.01%,17 Jan 2024
1.0924,0.0001,0.01%,16 Jan 2024
1.0923,0.0003,0.03%,15 Jan 2024
1.092,0.0001,0.01%,12 Jan 2024
1.0919,0.0001,0.01%,11 Jan 2024
1.0918,0.0001,0.01%,10 Jan 2024
1.0917,0.0001,0.01%,09 Jan 2024
1.0916,0.0003,0.03%,08 Jan 2024
1.0913,0.0001,0.01%,05 Jan 2024
1.0912,0.0001,0.01%,04 Jan 2024
1.0911,0.0001,0.01%,03 Jan 2024
1.091,0.0004,0.04%,02 Jan 2024
1.0906,0.0001,0.01%,29 Dec 2023
1.0905,0.0001,0.01%,28 Dec 2023
1.0904,0.0002,0.02%,27 Dec 2023
1.0902,0.0003,0.03%,26 Dec 2023
1.0899,0.0001,0.01%,22 Dec 2023
1.0898,0.0001,0.01%,21 Dec 2023
1.0897,0.0001,0.01%,20 Dec 2023
1.0896,0.0001,0.01%,19 Dec 2023
1.0895,0.0003,0.03%,18 Dec 2023
1.0892,0.0001,0.01%,15 Dec 2023
1.0891,0.0001,0.01%,14 Dec 2023
1.089,0.0001,0.01%,13 Dec 2023
1.0889,0.0001,0.01%,12 Dec 2023
1.0888,0.0003,0.03%,11 Dec 2023
1.0885,0.0001,0.01%,08 Dec 2023
1.0884,0.0001,0.01%,07 Dec 2023
1.0883,0.0001,0.01%,06 Dec 2023
1.0882,0.0001,0.01%,05 Dec 2023
1.0881,0.0003,0.03%,04 Dec 2023
1.0878,0.0001,0.01%,01 Dec 2023
1.0877,0.0001,0.01%,30 Nov 2023
1.0876,0.0001,0.01%,29 Nov 2023
1.0875,0.0001,0.01%,28 Nov 2023
1.0874,0.0003,0.03%,27 Nov 2023
1.0871,0.0001,0.01%,24 Nov 2023
1.087,0.0001,0.01%,23 Nov 2023
1.0869,0.0001,0.01%,22 Nov 2023
1.0868,0.0001,0.01%,21 Nov 2023
1.0867,0.0002,0.02%,20 Nov 2023
1.0865,0.0001,0.01%,17 Nov 2023
1.0864,0.0001,0.01%,16 Nov 2023
1.0863,0.0001,0.01%,15 Nov 2023
1.0862,0.0004,0.04%,14 Nov 2023
1.0858,0.0001,0.01%,10 Nov 2023
1.0857,0.0001,0.01%,09 Nov 2023
1.0856,0.0001,0.01%,08 Nov 2023
1.0855,0.0002,0.02%,07 Nov 2023
1.0853,0.0002,0.02%,06 Nov 2023
1.0851,0.0001,0.01%,03 Nov 2023
1.085,0.0001,0.01%,02 Nov 2023
1.0849,0.0001,0.01%,01 Nov 2023
1.0848,0.0001,0.01%,31 Oct 2023
1.0847,0.0003,0.03%,30 Oct 2023
1.0844,0.0000,0.00%,27 Oct 2023
1.0844,0.0001,0.01%,26 Oct 2023
1.0843,0.0001,0.01%,25 Oct 2023
1.0842,0.0001,0.01%,24 Oct 2023
1.0841,0.0003,0.03%,23 Oct 2023
1.0838,0.0001,0.01%,20 Oct 2023
1.0837,0.0001,0.01%,19 Oct 2023
1.0836,0.0001,0.01%,18 Oct 2023
1.0835,0.0001,0.01%,17 Oct 2023
1.0834,0.0003,0.03%,16 Oct 2023
1.0831,0.0001,0.01%,13 Oct 2023
1.083,0.0001,0.01%,12 Oct 2023
