Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
1.198,-0.003,-0.25%,25 Apr 2024
1.201,0.002,0.17%,24 Apr 2024
1.199,0.005,0.42%,23 Apr 2024
1.194,0.001,0.08%,22 Apr 2024
1.193,-0.004,-0.33%,19 Apr 2024
1.197,0.002,0.17%,18 Apr 2024
1.195,-0.001,-0.08%,17 Apr 2024
1.196,-0.007,-0.58%,16 Apr 2024
1.203,-0.002,-0.17%,15 Apr 2024
1.205,0.002,0.17%,12 Apr 2024
1.203,-0.004,-0.33%,11 Apr 2024
1.207,0.000,0.00%,09 Apr 2024
1.207,0.000,0.00%,08 Apr 2024
1.207,-0.002,-0.17%,05 Apr 2024
1.209,0.000,0.00%,04 Apr 2024
1.209,-0.001,-0.08%,03 Apr 2024
1.21,-0.001,-0.08%,02 Apr 2024
1.211,0.000,0.00%,01 Apr 2024
1.211,0.001,0.08%,28 Mar 2024
1.21,0.001,0.08%,27 Mar 2024
1.209,0.001,0.08%,26 Mar 2024
1.208,-0.001,-0.08%,25 Mar 2024
1.209,-0.001,-0.08%,22 Mar 2024
1.21,0.005,0.41%,21 Mar 2024
1.205,0.003,0.25%,20 Mar 2024
1.202,0.000,0.00%,19 Mar 2024
1.202,0.002,0.17%,18 Mar 2024
1.2,-0.002,-0.17%,15 Mar 2024
1.202,-0.001,-0.08%,14 Mar 2024
1.203,0.000,0.00%,13 Mar 2024
1.203,0.003,0.25%,12 Mar 2024
1.2,-0.002,-0.17%,11 Mar 2024
1.202,0.001,0.08%,08 Mar 2024
1.201,0.003,0.25%,07 Mar 2024
1.198,0.002,0.17%,06 Mar 2024
1.196,-0.002,-0.17%,05 Mar 2024
1.198,0.001,0.08%,04 Mar 2024
1.197,0.003,0.25%,01 Mar 2024
1.194,0.001,0.08%,29 Feb 2024
1.193,0.000,0.00%,28 Feb 2024
1.193,-0.001,-0.08%,27 Feb 2024
1.194,0.001,0.08%,26 Feb 2024
1.193,0.000,0.00%,23 Feb 2024
1.193,0.005,0.42%,22 Feb 2024
1.188,0.000,0.00%,21 Feb 2024
1.188,-0.001,-0.08%,20 Feb 2024
1.189,0.001,0.08%,19 Feb 2024
1.188,0.001,0.08%,16 Feb 2024
1.187,0.004,0.34%,15 Feb 2024
1.183,-0.001,-0.08%,14 Feb 2024
1.184,-0.001,-0.08%,13 Feb 2024
1.185,0.000,0.00%,09 Feb 2024
1.185,0.001,0.08%,08 Feb 2024
1.184,0.001,0.08%,07 Feb 2024
1.183,0.002,0.17%,06 Feb 2024
1.181,-0.003,-0.25%,05 Feb 2024
1.184,0.003,0.25%,02 Feb 2024
1.181,0.001,0.08%,01 Feb 2024
1.18,-0.001,-0.08%,31 Jan 2024
1.181,0.001,0.08%,30 Jan 2024
