Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
9.2698,0.0001,0.00%,03 Jan 2024
9.2697,-0.0008,-0.01%,02 Jan 2024
9.2705,0.0067,0.07%,29 Dec 2023
9.2638,0.0034,0.04%,28 Dec 2023
9.2604,0.0063,0.07%,27 Dec 2023
9.2541,0.0020,0.02%,22 Dec 2023
9.2521,-0.0008,-0.01%,21 Dec 2023
9.2529,0.0051,0.06%,20 Dec 2023
9.2478,0.0015,0.02%,19 Dec 2023
9.2463,0.0029,0.03%,18 Dec 2023
9.2434,-0.0329,-0.35%,15 Dec 2023
9.2763,0.0097,0.10%,14 Dec 2023
9.2666,0.0032,0.03%,13 Dec 2023
9.2634,0.0039,0.04%,12 Dec 2023
9.2595,0.0092,0.10%,11 Dec 2023
9.2503,0.0004,0.00%,08 Dec 2023
9.2499,-0.0005,-0.01%,07 Dec 2023
9.2504,-0.0001,0.00%,06 Dec 2023
9.2505,0.0000,0.00%,05 Dec 2023
9.2505,0.0043,0.05%,04 Dec 2023
9.2462,0.0064,0.07%,01 Dec 2023
9.2398,0.0072,0.08%,30 Nov 2023
9.2326,0.0005,0.01%,29 Nov 2023
9.2321,-0.0037,-0.04%,28 Nov 2023
9.2358,0.0099,0.11%,27 Nov 2023
9.2259,0.0057,0.06%,24 Nov 2023
9.2202,0.0003,0.00%,22 Nov 2023
9.2199,0.0036,0.04%,21 Nov 2023
9.2163,0.0092,0.10%,20 Nov 2023
9.2071,-0.0013,-0.01%,17 Nov 2023
9.2084,0.0008,0.01%,16 Nov 2023
9.2076,-0.0343,-0.37%,15 Nov 2023
9.2419,0.0036,0.04%,14 Nov 2023
9.2383,0.0074,0.08%,13 Nov 2023
9.2309,0.0054,0.06%,10 Nov 2023
9.2255,-0.0009,-0.01%,09 Nov 2023
9.2264,-0.0009,-0.01%,08 Nov 2023
9.2273,0.0025,0.03%,07 Nov 2023
9.2248,0.0042,0.05%,06 Nov 2023
9.2206,0.0081,0.09%,03 Nov 2023
9.2125,0.0075,0.08%,02 Nov 2023
9.205,-0.0005,-0.01%,31 Oct 2023
9.2055,0.0022,0.02%,30 Oct 2023
9.2033,0.0005,0.01%,27 Oct 2023
9.2028,-0.0026,-0.03%,26 Oct 2023
9.2054,0.0093,0.10%,25 Oct 2023
9.1961,-0.0010,-0.01%,24 Oct 2023
9.1971,0.0009,0.01%,23 Oct 2023
9.1962,-0.0032,-0.03%,20 Oct 2023
9.1994,-0.0030,-0.03%,19 Oct 2023
9.2024,0.0009,0.01%,18 Oct 2023
9.2015,0.0003,0.00%,17 Oct 2023
9.2012,-0.0313,-0.34%,16 Oct 2023
9.2325,-0.0007,-0.01%,13 Oct 2023
9.2332,0.0035,0.04%,12 Oct 2023
9.2297,0.0168,0.18%,11 Oct 2023
9.2129,-0.0071,-0.08%,10 Oct 2023
9.22,-0.0040,-0.04%,06 Oct 2023
9.224,0.0000,0.00%,05 Oct 2023
9.224,-0.0069,-0.07%,04 Oct 2023
9.2309,0.0016,0.02%,03 Oct 2023
9.2293,0.0053,0.06%,02 Oct 2023
9.224,-0.0010,-0.01%,29 Sep 2023
9.225,0.0013,0.01%,28 Sep 2023
9.2237,0.0002,0.00%,27 Sep 2023
9.2235,0.0018,0.02%,26 Sep 2023
9.2217,0.0046,0.05%,25 Sep 2023
9.2171,-0.0002,0.00%,22 Sep 2023
9.2173,0.0011,0.01%,21 Sep 2023
9.2162,0.0031,0.03%,20 Sep 2023
9.2131,0.0011,0.01%,19 Sep 2023
9.212,0.0042,0.05%,18 Sep 2023
9.2078,-0.0303,-0.33%,15 Sep 2023
9.2381,0.0005,0.01%,14 Sep 2023
9.2376,0.0020,0.02%,13 Sep 2023
9.2356,0.0020,0.02%,12 Sep 2023
9.2336,0.0048,0.05%,11 Sep 2023
9.2288,0.0023,0.02%,08 Sep 2023
9.2265,0.0014,0.02%,07 Sep 2023
9.2251,0.0022,0.02%,06 Sep 2023
9.2229,0.0049,0.05%,05 Sep 2023
9.218,0.0039,0.04%,01 Sep 2023
9.2141,0.0017,0.02%,31 Aug 2023
9.2124,0.0043,0.05%,30 Aug 2023
9.2081,0.0038,0.04%,29 Aug 2023
9.2043,0.0026,0.03%,25 Aug 2023
9.2017,0.0028,0.03%,24 Aug 2023
9.1989,-0.0033,-0.04%,23 Aug 2023
9.2022,-0.0001,0.00%,22 Aug 2023
9.2023,0.0042,0.05%,21 Aug 2023
9.1981,-0.0014,-0.02%,18 Aug 2023
9.1995,0.0000,0.00%,17 Aug 2023
9.1995,-0.0316,-0.34%,16 Aug 2023
9.2311,-0.0014,-0.02%,14 Aug 2023
