Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
104.51,-0.55,-0.52%,2024-06-17
105.06,0.34,0.32%,2024-06-14
104.72,0.66,0.63%,2024-06-13
104.06,3.08,3.05%,2024-06-12
100.98,0.11,0.11%,2024-06-11
100.87,0.80,0.80%,2024-06-07
100.07,1.13,1.14%,2024-06-06
98.94,1.72,1.77%,2024-06-05
97.22,-0.82,-0.84%,2024-06-04
98.04,0.13,0.13%,2024-06-03
97.91,-2.18,-2.18%,2024-05-31
100.09,-1.29,-1.27%,2024-05-30
101.38,0.23,0.23%,2024-05-29
101.15,0.58,0.58%,2024-05-28
100.57,-1.32,-1.30%,2024-05-24
101.89,-0.07,-0.07%,2024-05-23
101.96,1.14,1.13%,2024-05-22
100.82,-0.45,-0.44%,2024-05-21
101.27,0.77,0.77%,2024-05-20
100.5,-0.53,-0.52%,2024-05-17
101.03,3.03,3.09%,2024-05-16
98.0,0.11,0.11%,2024-05-14
97.89,-0.98,-0.99%,2024-05-13
98.87,1.21,1.24%,2024-05-10
97.66,-0.47,-0.48%,2024-05-09
98.13,-0.22,-0.22%,2024-05-08
98.35,-0.11,-0.11%,2024-05-07
98.46,0.97,0.99%,2024-05-06
97.49,2.52,2.65%,2024-05-03
94.97,-3.00,-3.06%,2024-05-02
97.97,0.39,0.40%,2024-04-30
97.58,0.16,0.16%,2024-04-29
97.42,3.24,3.44%,2024-04-26
94.18,-2.74,-2.83%,2024-04-25
96.92,1.46,1.53%,2024-04-24
95.46,1.94,2.07%,2024-04-23
93.52,-1.78,-1.87%,2024-04-22
95.3,-1.13,-1.17%,2024-04-19
96.43,-2.29,-2.32%,2024-04-18
98.72,0.24,0.24%,2024-04-17
98.48,-2.81,-2.77%,2024-04-16
101.29,-0.49,-0.48%,2024-04-15
101.78,0.53,0.52%,2024-04-12
101.25,0.30,0.30%,2024-04-11
100.95,-0.32,-0.32%,2024-04-10
101.27,0.12,0.12%,2024-04-09
101.15,0.10,0.10%,2024-04-08
101.05,0.12,0.12%,2024-04-05
100.93,0.77,0.77%,2024-04-03
100.16,-1.86,-1.82%,2024-04-02
102.02,0.82,0.81%,2024-03-28
101.2,-1.24,-1.21%,2024-03-27
102.44,0.27,0.26%,2024-03-26
102.17,0.38,0.37%,2024-03-25
101.79,-0.89,-0.87%,2024-03-22
102.68,3.20,3.22%,2024-03-21
99.48,1.77,1.81%,2024-03-20
97.71,-1.68,-1.69%,2024-03-19
99.39,0.71,0.72%,2024-03-18
98.68,-1.35,-1.35%,2024-03-15
100.03,-0.38,-0.38%,2024-03-14
100.41,-0.36,-0.36%,2024-03-13
100.77,1.22,1.23%,2024-03-12
99.55,-3.84,-3.71%,2024-03-11
103.39,2.03,2.00%,2024-03-08
101.36,0.49,0.49%,2024-03-07
100.87,0.21,0.21%,2024-03-06
100.66,-2.33,-2.26%,2024-03-05
102.99,1.02,1.00%,2024-03-04
101.97,1.18,1.17%,2024-03-01
100.79,0.69,0.69%,2024-02-29
100.1,-1.02,-1.01%,2024-02-28
101.12,0.50,0.50%,2024-02-27
100.62,-0.05,-0.05%,2024-02-26
100.67,-0.12,-0.12%,2024-02-23
100.79,4.20,4.35%,2024-02-22
96.59,-1.44,-1.47%,2024-02-21
98.03,-2.88,-2.85%,2024-02-20
100.91,-0.05,-0.05%,2024-02-16
100.96,0.34,0.34%,2024-02-15
100.62,-0.53,-0.52%,2024-02-14
101.15,1.30,1.30%,2024-02-09
99.85,2.98,3.08%,2024-02-08
96.87,0.20,0.21%,2024-02-07
96.67,-0.84,-0.86%,2024-02-06
97.51,1.11,1.15%,2024-02-05
96.4,2.66,2.84%,2024-02-02
93.74,-0.04,-0.04%,2024-02-01
93.78,-2.34,-2.43%,2024-01-31
96.12,1.14,1.20%,2024-01-30
94.98,0.77,0.82%,2024-01-29
94.21,-0.62,-0.65%,2024-01-26
94.83,-0.07,-0.07%,2024-01-25
94.9,1.18,1.26%,2024-01-24
93.72,-0.55,-0.58%,2024-01-23
94.27,2.85,3.12%,2024-01-22
91.42,0.67,0.74%,2024-01-19
90.75,2.21,2.50%,2024-01-18
88.54,-1.26,-1.40%,2024-01-17
89.8,0.23,0.26%,2024-01-16
89.57,-0.04,-0.04%,2024-01-12
89.61,1.23,1.39%,2024-01-11
88.38,0.72,0.82%,2024-01-10
87.66,0.93,1.07%,2024-01-09
86.73,1.66,1.95%,2024-01-08
85.07,0.50,0.59%,2024-01-05
84.57,-0.93,-1.09%,2024-01-04
85.5,-1.44,-1.66%,2024-01-03
86.94,-2.60,-2.90%,2024-01-02
89.54,0.14,0.16%,2023-12-29
89.4,-0.36,-0.40%,2023-12-28
89.76,0.68,0.76%,2023-12-27
89.08,0.43,0.49%,2023-12-22
88.65,-0.78,-0.87%,2023-12-21
89.43,-0.28,-0.31%,2023-12-20
89.71,0.62,0.70%,2023-12-19
89.09,0.75,0.85%,2023-12-18
88.34,0.36,0.41%,2023-12-15
87.98,1.28,1.48%,2023-12-14
86.7,0.28,0.32%,2023-12-13
86.42,0.16,0.19%,2023-12-12
86.26,1.39,1.64%,2023-12-11
84.87,0.90,1.07%,2023-12-08
83.97,-0.97,-1.14%,2023-12-07
84.94,0.95,1.13%,2023-12-06
83.99,-0.36,-0.43%,2023-12-05
84.35,0.17,0.20%,2023-12-04
84.18,-0.36,-0.43%,2023-12-01
84.54,-0.20,-0.24%,2023-11-30
84.74,1.98,2.39%,2023-11-29
82.76,-0.73,-0.87%,2023-11-28
83.49,0.13,0.16%,2023-11-27
83.36,-0.28,-0.33%,2023-11-24
83.64,0.81,0.98%,2023-11-22
82.83,-0.12,-0.14%,2023-11-21
82.95,0.52,0.63%,2023-11-20
82.43,0.03,0.04%,2023-11-17
82.4,-0.62,-0.75%,2023-11-16
83.02,0.52,0.63%,2023-11-15
82.5,2.51,3.14%,2023-11-14
79.99,0.63,0.79%,2023-11-13
79.36,-0.50,-0.63%,2023-11-10
79.86,0.63,0.80%,2023-11-09
79.23,0.44,0.56%,2023-11-08
78.79,1.66,2.15%,2023-11-07
77.13,0.06,0.08%,2023-11-06
77.07,0.60,0.78%,2023-11-03
76.47,0.91,1.20%,2023-11-02
75.56,1.04,1.40%,2023-11-01
74.52,1.12,1.53%,2023-10-31
73.4,-0.24,-0.33%,2023-10-30
73.64,0.07,0.10%,2023-10-27
73.57,-2.35,-3.10%,2023-10-26
75.92,-1.21,-1.57%,2023-10-25
77.13,-0.57,-0.73%,2023-10-24
77.7,-1.62,-2.04%,2023-10-20
79.32,-0.75,-0.94%,2023-10-19
80.07,0.33,0.41%,2023-10-18
79.74,-0.23,-0.29%,2023-10-17
79.97,-1.02,-1.26%,2023-10-16
80.99,-0.68,-0.83%,2023-10-13
81.67,0.45,0.55%,2023-10-12
81.22,0.22,0.27%,2023-10-11
81.0,1.37,1.72%,2023-10-10
79.63,1.84,2.37%,2023-10-09
77.79,0.08,0.10%,2023-10-06
77.71,-0.05,-0.06%,2023-10-05
77.76,-1.36,-1.72%,2023-10-04
79.12,-0.26,-0.33%,2023-10-03
79.38,2.18,2.82%,2023-09-29
77.2,-0.18,-0.23%,2023-09-28
77.38,0.43,0.56%,2023-09-27
76.95,-0.63,-0.81%,2023-09-26
77.58,-0.16,-0.21%,2023-09-25
