Nav Price (SGD),Changes (SGD),Changes (%),NAV Date
12.97,-0.03,-0.23%,19 Dec 2019
13.0,0.04,0.31%,18 Dec 2019
12.96,0.10,0.78%,17 Dec 2019
12.86,0.03,0.23%,16 Dec 2019
12.83,0.09,0.71%,13 Dec 2019
12.74,0.12,0.95%,12 Dec 2019
12.62,0.13,1.04%,11 Dec 2019
12.49,0.00,0.00%,10 Dec 2019
12.49,0.00,0.00%,09 Dec 2019
12.49,0.07,0.56%,06 Dec 2019
12.42,0.06,0.49%,05 Dec 2019
12.36,0.03,0.24%,04 Dec 2019
12.33,-0.02,-0.16%,03 Dec 2019
12.35,-0.05,-0.40%,02 Dec 2019
12.4,-0.19,-1.51%,29 Nov 2019
12.59,0.03,0.24%,27 Nov 2019
12.56,-0.02,-0.16%,26 Nov 2019
12.58,0.06,0.48%,25 Nov 2019
12.52,0.03,0.24%,22 Nov 2019
12.49,-0.05,-0.40%,21 Nov 2019
12.54,-0.04,-0.32%,20 Nov 2019
12.58,0.03,0.24%,19 Nov 2019
12.55,0.00,0.00%,18 Nov 2019
12.55,0.07,0.56%,15 Nov 2019
12.48,0.00,0.00%,14 Nov 2019
12.48,-0.08,-0.64%,13 Nov 2019
12.56,0.00,0.00%,12 Nov 2019
12.56,-0.08,-0.63%,11 Nov 2019
12.64,-0.07,-0.55%,08 Nov 2019
12.71,0.04,0.32%,07 Nov 2019
12.67,-0.02,-0.16%,06 Nov 2019
12.69,0.03,0.24%,05 Nov 2019
12.66,0.26,2.10%,04 Nov 2019
12.4,-0.06,-0.48%,31 Oct 2019
12.46,0.01,0.08%,30 Oct 2019
12.45,-0.03,-0.24%,29 Oct 2019
12.48,-0.01,-0.08%,28 Oct 2019
12.49,0.01,0.08%,25 Oct 2019
12.48,0.04,0.32%,24 Oct 2019
12.44,0.02,0.16%,23 Oct 2019
12.42,0.01,0.08%,22 Oct 2019
12.41,0.06,0.49%,21 Oct 2019
12.35,-0.03,-0.24%,18 Oct 2019
12.38,0.04,0.32%,17 Oct 2019
12.34,0.02,0.16%,16 Oct 2019
12.32,0.04,0.33%,15 Oct 2019
12.28,0.01,0.08%,14 Oct 2019
12.27,0.09,0.74%,11 Oct 2019
12.18,0.05,0.41%,10 Oct 2019
12.13,0.04,0.33%,09 Oct 2019
12.09,-0.04,-0.33%,08 Oct 2019
12.13,-0.06,-0.49%,07 Oct 2019
12.19,0.07,0.58%,04 Oct 2019
12.12,0.09,0.75%,03 Oct 2019
12.03,-0.09,-0.74%,02 Oct 2019
12.12,-0.06,-0.49%,01 Oct 2019
12.18,-0.02,-0.16%,30 Sep 2019
12.2,-0.11,-0.89%,27 Sep 2019
12.31,0.02,0.16%,26 Sep 2019
12.29,-0.01,-0.08%,25 Sep 2019
12.3,-0.09,-0.73%,24 Sep 2019
12.39,-0.02,-0.16%,23 Sep 2019
12.41,0.03,0.24%,20 Sep 2019
12.38,-0.04,-0.32%,19 Sep 2019
12.42,0.02,0.16%,18 Sep 2019
12.4,-0.04,-0.32%,17 Sep 2019
12.44,0.00,0.00%,16 Sep 2019
12.44,-0.02,-0.16%,13 Sep 2019
12.46,0.06,0.48%,12 Sep 2019
12.4,0.06,0.49%,11 Sep 2019
12.34,0.02,0.16%,10 Sep 2019
12.32,-0.04,-0.32%,09 Sep 2019
12.36,0.04,0.32%,06 Sep 2019
12.32,0.08,0.65%,05 Sep 2019
12.24,0.18,1.49%,04 Sep 2019
12.06,0.01,0.08%,03 Sep 2019
12.05,0.06,0.50%,30 Aug 2019
11.99,0.01,0.08%,29 Aug 2019
11.98,0.04,0.34%,28 Aug 2019
11.94,0.00,0.00%,27 Aug 2019
11.94,0.01,0.08%,26 Aug 2019
11.93,-0.11,-0.91%,23 Aug 2019
12.04,-0.06,-0.50%,22 Aug 2019
12.1,0.06,0.50%,21 Aug 2019
12.04,0.01,0.08%,20 Aug 2019
12.03,0.03,0.25%,19 Aug 2019
12.0,0.21,1.78%,16 Aug 2019
11.79,-0.20,-1.67%,14 Aug 2019
11.99,0.00,0.00%,13 Aug 2019
11.99,-0.15,-1.24%,12 Aug 2019
12.14,-0.06,-0.49%,09 Aug 2019
12.2,0.10,0.83%,08 Aug 2019
12.1,0.04,0.33%,07 Aug 2019
12.06,0.10,0.84%,06 Aug 2019
11.96,-0.30,-2.45%,05 Aug 2019
12.26,-0.15,-1.21%,02 Aug 2019
12.41,-0.12,-0.96%,01 Aug 2019
12.53,-0.15,-1.18%,31 Jul 2019
